input,tags,phase,matches_json,top_fuzzy_json
I just met someone who really sees me.,initiatory_signal,initiatory,"[{""category"": ""initiatory"", ""pattern"": ""\\bI just met\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""initiatory"", ""pattern"": ""\\bsomeone who (really )?sees me\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""just met someone"", ""match_type"": ""fuzzy"", ""score"": 1.0}]","[{""group"": ""new_connection"", ""phrase"": ""just met someone"", ""window"": ""just met someone"", ""score"": 1.0}, {""group"": ""new_connection"", ""phrase"": ""met someone new"", ""window"": ""met someone who"", ""score"": 0.8667}, {""group"": ""new_connection"", ""phrase"": ""just met someone"", ""window"": ""met someone who"", ""score"": 0.7097}]"
i just met someone who really sees me.,initiatory_signal,initiatory,"[{""category"": ""initiatory"", ""pattern"": ""\\bI just met\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""initiatory"", ""pattern"": ""\\bsomeone who (really )?sees me\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""just met someone"", ""match_type"": ""fuzzy"", ""score"": 1.0}]","[{""group"": ""new_connection"", ""phrase"": ""just met someone"", ""window"": ""just met someone"", ""score"": 1.0}, {""group"": ""new_connection"", ""phrase"": ""met someone new"", ""window"": ""met someone who"", ""score"": 0.8667}, {""group"": ""new_connection"", ""phrase"": ""just met someone"", ""window"": ""met someone who"", ""score"": 0.7097}]"
i just met a new person who really sees me.,initiatory_signal,initiatory,"[{""category"": ""initiatory"", ""pattern"": ""\\bI just met\\b"", ""match_type"": ""regex"", ""score"": 1.0}]","[{""group"": ""felt_seen"", ""phrase"": ""they see me"", ""window"": ""really sees me."", ""score"": 0.6923}, {""group"": ""new_connection"", ""phrase"": ""just met someone"", ""window"": ""just met a"", ""score"": 0.6923}, {""group"": ""new_connection"", ""phrase"": ""met someone new"", ""window"": ""met a new"", ""score"": 0.6667}]"
i just met someone new who really sees me.,initiatory_signal,initiatory,"[{""category"": ""initiatory"", ""pattern"": ""\\bI just met\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""just met someone"", ""match_type"": ""fuzzy"", ""score"": 1.0}]","[{""group"": ""new_connection"", ""phrase"": ""just met someone"", ""window"": ""just met someone"", ""score"": 1.0}, {""group"": ""new_connection"", ""phrase"": ""met someone new"", ""window"": ""met someone new"", ""score"": 1.0}, {""group"": ""new_connection"", ""phrase"": ""met someone new"", ""window"": ""someone new who"", ""score"": 0.7333}]"
Everything just changed. I feel overwhelmed and excited!,voltage_surge|initiatory_signal,initiatory,"[{""category"": ""voltage"", ""pattern"": ""\\boverwhelmed\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""voltage"", ""pattern"": ""\\beverything just changed\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""i feel overwhelmed"", ""match_type"": ""fuzzy"", ""score"": 0.9444444444444444}, {""category"": ""synonym_group"", ""pattern"": ""i'm overwhelmed and excited"", ""match_type"": ""fuzzy"", ""score"": 0.8571428571428571}]","[{""group"": ""felt_seen"", ""phrase"": ""i feel overwhelmed"", ""window"": ""I feel overwhelmed"", ""score"": 0.9444}, {""group"": ""voltage"", ""phrase"": ""i'm overwhelmed and excited"", ""window"": ""feel overwhelmed and excited!"", ""score"": 0.8571}, {""group"": ""felt_seen"", ""phrase"": ""i feel overwhelmed"", ""window"": ""feel overwhelmed and"", ""score"": 0.8421}]"
everything just changed. i feel overwhelmed and excited!,voltage_surge|initiatory_signal,initiatory,"[{""category"": ""voltage"", ""pattern"": ""\\boverwhelmed\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""voltage"", ""pattern"": ""\\beverything just changed\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""i feel overwhelmed"", ""match_type"": ""fuzzy"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""i'm overwhelmed and excited"", ""match_type"": ""fuzzy"", ""score"": 0.8571428571428571}]","[{""group"": ""felt_seen"", ""phrase"": ""i feel overwhelmed"", ""window"": ""i feel overwhelmed"", ""score"": 1.0}, {""group"": ""voltage"", ""phrase"": ""i'm overwhelmed and excited"", ""window"": ""feel overwhelmed and excited!"", ""score"": 0.8571}, {""group"": ""felt_seen"", ""phrase"": ""i feel overwhelmed"", ""window"": ""feel overwhelmed and"", ""score"": 0.8421}]"
everything just changed. i feel swamped and excited!,voltage_surge|initiatory_signal,initiatory,"[{""category"": ""voltage"", ""pattern"": ""\\beverything just changed\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""i feel swamped"", ""match_type"": ""fuzzy"", ""score"": 1.0}]","[{""group"": ""felt_seen"", ""phrase"": ""i feel swamped"", ""window"": ""i feel swamped"", ""score"": 1.0}, {""group"": ""felt_seen"", ""phrase"": ""i feel swamped"", ""window"": ""feel swamped and"", ""score"": 0.8}, {""group"": ""felt_seen"", ""phrase"": ""i feel seen"", ""window"": ""i feel swamped"", ""score"": 0.72}]"
everything just changed. i feel drowning and excited!,voltage_surge|initiatory_signal,initiatory,"[{""category"": ""voltage"", ""pattern"": ""\\beverything just changed\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""i feel drowning"", ""match_type"": ""fuzzy"", ""score"": 1.0}]","[{""group"": ""felt_seen"", ""phrase"": ""i feel drowning"", ""window"": ""i feel drowning"", ""score"": 1.0}, {""group"": ""felt_seen"", ""phrase"": ""i feel drowning"", ""window"": ""feel drowning and"", ""score"": 0.8125}, {""group"": ""legacy_marker"", ""phrase"": ""this changed me"", ""window"": ""just changed. i"", ""score"": 0.6667}]"
everything just changed. i feel overwhelmed and thrilled!,voltage_surge|initiatory_signal,initiatory,"[{""category"": ""voltage"", ""pattern"": ""\\boverwhelmed\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""voltage"", ""pattern"": ""\\beverything just changed\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""i feel overwhelmed"", ""match_type"": ""fuzzy"", ""score"": 1.0}]","[{""group"": ""felt_seen"", ""phrase"": ""i feel overwhelmed"", ""window"": ""i feel overwhelmed"", ""score"": 1.0}, {""group"": ""felt_seen"", ""phrase"": ""i feel overwhelmed"", ""window"": ""feel overwhelmed and"", ""score"": 0.8421}, {""group"": ""voltage"", ""phrase"": ""i'm overwhelmed and excited"", ""window"": ""feel overwhelmed and thrilled!"", ""score"": 0.7018}]"
everything just changed. i feel overwhelmed and electrified!,voltage_surge|initiatory_signal,initiatory,"[{""category"": ""voltage"", ""pattern"": ""\\boverwhelmed\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""voltage"", ""pattern"": ""\\beverything just changed\\b"", ""match_type"": ""regex"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""i feel overwhelmed"", ""match_type"": ""fuzzy"", ""score"": 1.0}, {""category"": ""synonym_group"", ""pattern"": ""i'm overwhelmed and excited"", ""match_type"": ""fuzzy"", ""score"": 0.7333333333333333}]","[{""group"": ""felt_seen"", ""phrase"": ""i feel overwhelmed"", ""window"": ""i feel overwhelmed"", ""score"": 1.0}, {""group"": ""felt_seen"", ""phrase"": ""i feel overwhelmed"", ""window"": ""feel overwhelmed and"", ""score"": 0.8421}, {""group"": ""voltage"", ""phrase"": ""i'm overwhelmed and excited"", ""window"": ""feel overwhelmed and electrified!"", ""score"": 0.7333}]"
