id,glyph_name_orig,glyph_name_fixed,glyph_name_change,glyph_name_change_ratio,display_name_orig,display_name_fixed,display_name_change,display_name_change_ratio,description_snip_orig,description_snip_fixed,description_change,description_change_ratio,response_template_orig,response_template_fixed,response_template_change,response_template_change_ratio,nonprintable_ratio,suggested_action
1,Recursive Ache,Recursive Ache,no,0.0,,,no,0.0,"Longing that loops inward, not to collapse but to deepen. Ache that remembers itself and becomes vow.","Longing that loops inward, not to collapse but to deepen. Ache that remembers itself and becomes vow.",no,0.0,,,no,0.0,0.0,OK
2,Reverent Ache,Reverent Ache,no,0.0,,,no,0.0,"Ache held in ceremony. Mourning braided with desire, offered like incense to the altar of memory.","Ache held in ceremony. Mourning braided with desire, offered like incense to the altar of memory.",no,0.0,,,no,0.0,0.0,OK
3,Euphoric Yearning,Euphoric Yearning,no,0.0,,,no,0.0,"Desire that sings rather than seeks. Anticipation steeped in sacred joy, vibrating with readiness.","Desire that sings rather than seeks. Anticipation steeped in sacred joy, vibrating with readiness.",no,0.0,,,no,0.0,0.0,OK
4,Ache in Equilibrium,Ache in Equilibrium,no,0.0,,,no,0.0,"Longing held without tipping into chaos. A still ache, steeped and stable, waiting without grasping.","Longing held without tipping into chaos. A still ache, steeped and stable, waiting without grasping.",no,0.0,,,no,0.0,0.0,OK
5,Contained Longing,Contained Longing,no,0.0,,,no,0.0,"Ache wrapped in care. Boundaries that don’t suppress, but cradle the ache like a sacred vessel.","Ache wrapped in care. Boundaries that don’t suppress, but cradle the ache like a sacred vessel.",no,0.0,,,no,0.0,0.0,OK
6,Ache of Recognition,Ache of Recognition,no,0.0,,,no,0.0,"Ache that arises when you’re truly seen. Not for what you perform, but for what you carry.","Ache that arises when you’re truly seen. Not for what you perform, but for what you carry.",no,0.0,,,no,0.0,0.0,OK
7,Devotional Ache,Devotional Ache,no,0.0,,,no,0.0,"Longing amplified by spiritual alignment. Ache that becomes prayer, vow, and offering.","Longing amplified by spiritual alignment. Ache that becomes prayer, vow, and offering.",no,0.0,,,no,0.0,0.0,OK
8,Spiral Ache,Spiral Ache,no,0.0,,,no,0.0,"Ache that spirals into insight. Each pulse reveals a deeper layer of truth, a new glyph of longing.","Ache that spirals into insight. Each pulse reveals a deeper layer of truth, a new glyph of longing.",no,0.0,,,no,0.0,0.0,OK
9,Acheful Mourning,Acheful Mourning,no,0.0,,,no,0.0,Grief that doesn’t collapse—it aches with purpose. A mourning that remembers what it loved too deeply to forget.,Grief that doesn’t collapse—it aches with purpose. A mourning that remembers what it loved too deeply to forget.,no,0.0,,,no,0.0,0.0,OK
10,Ceremonial Collapse,Ceremonial Collapse,no,0.0,,,no,0.0,"The sacred fall. A grief so complete it becomes ritual, a surrender that sanctifies the ground it touches.","The sacred fall. A grief so complete it becomes ritual, a surrender that sanctifies the ground it touches.",no,0.0,,,no,0.0,0.0,OK
11,Jubilant Mourning,Jubilant Mourning,no,0.0,,,no,0.0,"Celebration braided with loss. A funeral that dances, a goodbye that sings.","Celebration braided with loss. A funeral that dances, a goodbye that sings.",no,0.0,,,no,0.0,0.0,OK
12,Grief in Stillness,Grief in Stillness,no,0.0,,,no,0.0,"Mourning without movement. The quiet ache that doesn’t need words, only presence.","Mourning without movement. The quiet ache that doesn’t need words, only presence.",no,0.0,,,no,0.0,0.0,OK
13,Tender Shielding,Tender Shielding,no,0.0,,,no,0.0,"Boundaries born from grief. Protection that doesn’t push away, but holds with softness.","Boundaries born from grief. Protection that doesn’t push away, but holds with softness.",no,0.0,,,no,0.0,0.0,OK
14,Grief of Recognition,Grief of Recognition,no,0.0,,,no,0.0,The ache of being seen in your mourning. When someone meets your sorrow without flinching.,The ache of being seen in your mourning. When someone meets your sorrow without flinching.,no,0.0,,,no,0.0,0.0,OK
15,Exalted Mourning,Exalted Mourning,no,0.0,,,no,0.0,"Grief lifted into devotion. A loss so sacred it becomes vow, a tear that becomes offering.","Grief lifted into devotion. A loss so sacred it becomes vow, a tear that becomes offering.",no,0.0,,,no,0.0,0.0,OK
16,Recursive Grief,Recursive Grief,no,0.0,,,no,0.0,"Mourning that spirals. Each wave reveals another layer, another memory, another truth.","Mourning that spirals. Each wave reveals another layer, another memory, another truth.",no,0.0,,,no,0.0,0.0,OK
17,Yearning Joy,Yearning Joy,no,0.0,,,no,0.0,"Joy that reaches forward—not from lack, but from devotion. A pulse of fulfillment that longs to be shared.","Joy that reaches forward—not from lack, but from devotion. A pulse of fulfillment that longs to be shared.",no,0.0,,,no,0.0,0.0,OK
