Category,Count,Theme,NPC Giver,Glyph,Location,Storyline
Transcendence,1,"Unity, transformation, resolution","Captain Veynar, Drossel the Cloaked, Korrin the Gossip",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #1,"Fusion of Glyph of Iron Boundary, Glyph of Serpent?s Silence, and Glyph of Serpent?s Tongue. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Boundaries, choice, clarity; Touch, silence, witness; Community, restoration, interdependence. NPCs involved: Captain Veynar, Drossel the Cloaked, Korrin the Gossip."
Transcendence,2,"Unity, transformation, resolution","Bone Keeper, Captain Veynar, Mariel the Weaver",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #2,"Fusion of Glyph of Covenant Bone, Glyph of Iron Boundary, and Glyph of Binding Cloth. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Family, ancestry, ritual inheritance; Boundaries, choice, clarity; Community, restoration, interdependence. NPCs involved: Bone Keeper, Captain Veynar, Mariel the Weaver."
Transcendence,3,"Unity, transformation, resolution","Street Performer, High Seer Elenya, Forest Loner Camper",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #3,"Fusion of Glyph of Hopeful Transmission, Glyph of Veiled Silence, and Glyph of Hidden Warmth. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Family, ancestry, ritual inheritance; Touch, silence, witness; Play, reunion, creative spark. NPCs involved: Street Performer, High Seer Elenya, Forest Loner Camper."
Transcendence,4,"Unity, transformation, resolution","Desert Elder, Sera the Herb Novice, Archivist Malrik",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #4,"Fusion of Glyph of Echoed Breath, Glyph of Quiet Bloom, and Glyph of Fractured Memory. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Family, ancestry, ritual inheritance; Touch, silence, witness; Memory distortion, fear, the fracture. NPCs involved: Desert Elder, Sera the Herb Novice, Archivist Malrik."
Transcendence,5,"Unity, transformation, resolution","Nima, Mediator, Cult Adjudicator",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #5,"Fusion of Glyph of Sorrow, Glyph of Held Ache, and Glyph of Preemptive Severance. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Loss, grief, betrayal; Boundaries, choice, clarity; Memory distortion, fear, the fracture. NPCs involved: Nima, Mediator, Cult Adjudicator."
Transcendence,6,"Unity, transformation, resolution","Desert Widow, Shrine Healer, Kaelen the Suspected Thief",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #6,"Fusion of Glyph of Widow's Cry, Glyph of Tender Witness, and Glyph of Stolen Memory. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Loss, grief, betrayal; Touch, silence, witness; Memory distortion, fear, the fracture. NPCs involved: Desert Widow, Shrine Healer, Kaelen the Suspected Thief."
Transcendence,7,"Unity, transformation, resolution","Street Performer, Drossel the Cloaked, Sera the Herb Novice",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #7,"Fusion of Glyph of Hopeful Transmission, Glyph of Masked Boundary, and Glyph of Dawn Petals. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Family, ancestry, ritual inheritance; Boundaries, choice, clarity; Play, reunion, creative spark. NPCs involved: Street Performer, Drossel the Cloaked, Sera the Herb Novice."
Transcendence,8,"Unity, transformation, resolution","Archivist of Lineage, Market Cooks, Kaelen the Suspected Thief",Triglyph of Glyph / Glyph / Glyth,Procedural Triglyph Chamber #8,"Fusion of Glyph of Dislocated Attachment, Glyph of Shared Feast, and Glyth of Thieves' Honor. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Loss, grief, betrayal; Play, reunion, creative spark; Community, restoration, interdependence. NPCs involved: Archivist of Lineage, Market Cooks, Kaelen the Suspected Thief."
Transcendence,9,"Unity, transformation, resolution","Captain Veynar, Sera the Herb Novice, Archivist Malrik",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #9,"Fusion of Glyph of Iron Boundary, Glyph of Laughter's Balm, and Glyph of Fractured Memory. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Boundaries, choice, clarity; Play, reunion, creative spark; Memory distortion, fear, the fracture. NPCs involved: Captain Veynar, Sera the Herb Novice, Archivist Malrik."
Transcendence,10,"Unity, transformation, resolution","High Seer Elenya, Mariel the Weaver, Korrin the Gossip",Triglyph of Glyph / Glyph / Glyph,Procedural Triglyph Chamber #10,"Fusion of Glyph of Veiled Silence, Glyph of Binding Cloth, and Glyph of Fractured Rumor. Boss encounter resolves overlapping grief by requiring the player to apply the three emotional acts: Touch, silence, witness; Community, restoration, interdependence; Memory distortion, fear, the fracture. NPCs involved: High Seer Elenya, Mariel the Weaver, Korrin the Gossip."
