Category,Count,Theme,NPC Giver,Glyph,Location,Storyline
Legacy,1,"Family, ancestry, ritual inheritance",Kaelen,Glyph of Legacy,Civic Center Rubble,Kaelen reveals he witnessed the collapse and was too focused on theft to intervene.
Legacy,2,"Family, ancestry, ritual inheritance",Archivist Malrik,Glyph of Ancestral Record,Desert tomb archives,Inheritance rationalized as historical evidence.
Legacy,3,"Family, ancestry, ritual inheritance",Lark - Community Mason,Glyph of Shared Weight,River bridge,"A collapsed bridge traps children; the player helps rescue them, recalling Ravi and Nima’s story and feeling a sense of rebalancing."
Legacy,4,"Family, ancestry, ritual inheritance",Mariel the Weaver,Glyph of Worn Cloth,Community Alcove,The player learns to appreciate the warmth provided by cloth woven by others’ hands.
Legacy,5,"Family, ancestry, ritual inheritance",Archivist Malrik,Glyph of Sand Memories,Desert archive chamber,"Malrik insists legacy is record, not myth. Names etched in dust reveal identity’s fragile persistence."
Legacy,6,"Family, ancestry, ritual inheritance",Inodora - Story Teller,Glyph of Emotional Inheritance,Community Fire Circle,"Families gather to pass stories from elder to child. The glyph manifests when the player accepts a story, understanding legacy as shared memory."
Ache,7,"Loss, grief, betrayal",Saori,Glyph of Infrasensory Oblivion,Chamber of Delayed Echoes,A dark void surrounded by faint rings teaches that abandonment sometimes arrives before it is felt.
Ache,8,"Loss, grief, betrayal",Seyla - Archivist of Lineage,Glyph of Dislocated Attachment,Hall of Ancestral Echoes,Families fractured by collapse; love and fear pull in opposite directions.
Ache,9,"Loss, grief, betrayal",Ravi & Nima,Glyph of Sorrow,Market Square,Ophina died in a collapse; the pedestal reacts to grief and slows the player’s movement.
Ache,10,"Loss, grief, betrayal",Tessa - Desert Widow,Glyph of Desert Vigil,Desert Outskirts,"Grief after collapse is quiet, daily, and lonely. The glyph manifests when the player sits with her long enough to understand her isolation."
Ache,11,"Loss, grief, betrayal",Dalen the Rusted Guide,Glyph of Betrayal Scar,Caravan Ruins,Dalen trusted collapsing intel; his charges died. His scars teach that betrayal leaves marks we survive with.
